id,question,question_type,difficulty,requires_counterfactual,prediction_present,successful,pipeline_error,gold_rule_count,predicted_rule_count,rule_true_positive,rule_set_precision,rule_set_recall,rule_set_f1,rule_set_exact,rule_mrr,rule_map,gold_event_count,predicted_event_count,event_true_positive,event_set_precision,event_set_recall,event_set_f1,event_set_exact,event_mrr,gold_article_count,predicted_article_count,article_true_positive,article_set_precision,article_set_recall,article_set_f1,article_set_exact,top1_path_id,top1_path_rank,top1_path_edges,top1_path_event_ids,top1_path_rule_ids,top1_exact_path_match,top1_reverse_exact_path_match,top1_hop_accuracy,top1_path_length_accuracy,top1_edge_precision,top1_edge_recall,top1_edge_f1,top1_event_precision,top1_event_recall,top1_event_f1,top1_final_event_accuracy,top1_path_rule_precision,top1_path_rule_recall,top1_path_rule_f1,candidate_path_count,oracle_best_path_id,oracle_best_path_rank,oracle_best_path_edges,oracle_exact_path_match,oracle_edge_f1,oracle_event_f1,oracle_path_rule_f1,oracle_final_event_accuracy,path_ranking_error,path_retrieval_error,gold_decision,predicted_decision,verification_correct,decision_score,answer_token_precision,answer_token_recall,answer_token_f1,answer_rouge_l_f1,answer_exact_match,answer_length_tokens,gold_answer_length_tokens,answer_present,citation_true_positive,citation_precision,citation_recall,citation_f1,citation_exact,runtime_seconds,gold_rule_ids,predicted_rule_ids,gold_event_ids,predicted_event_ids,gold_article_ids,predicted_article_ids,gold_path_edges,gold_citations,predicted_citations,gold_answer,predicted_answer,rule_recall_at_1,rule_precision_at_1,rule_hit_at_1,event_recall_at_1,event_precision_at_1,event_hit_at_1,rule_recall_at_3,rule_precision_at_3,rule_hit_at_3,event_recall_at_3,event_precision_at_3,event_hit_at_3,rule_recall_at_5,rule_precision_at_5,rule_hit_at_5,event_recall_at_5,event_precision_at_5,event_hit_at_5,rule_recall_at_10,rule_precision_at_10,rule_hit_at_10,event_recall_at_10,event_precision_at_10,event_hit_at_10,error_types
BLHS_MH_0001,"Nếu Đã chấp hành một nửa thời hạn cấm cư trú hoặc quản chế và cải tạo tốt thì qua chuỗi quan hệ pháp lý, hệ quả cuối cùng là gì?",forward_multihop,medium,0,1,1,,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,0,0.0,0.0,0.0,0.0,0.0,0.0,2,0,0.0,0.0,0.0,0.0,0.0,-1,1,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,-1,0,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,SUPPORTED,UNCERTAIN,0.0,0.4,0.636364,0.269231,0.378378,0.216216,0.0,22,52,1.0,0.0,0.0,0.0,0.0,0.0,35.620271,176|203,,da_chap_hanh_mot_nua_thoi_han_cam_cu_tru_hoac_quan_che_va_cai_tao_tot|mien_phan_hinh_phat_con_lai|duoc_coi_nhu_da_chap_hanh_xong_hinh_phat,,62|73,,da_chap_hanh_mot_nua_thoi_han_cam_cu_tru_hoac_quan_che_va_cai_tao_tot->mien_phan_hinh_phat_con_lai|mien_phan_hinh_phat_con_lai->duoc_coi_nhu_da_chap_hanh_xong_hinh_phat,62|73,,Hệ quả cuối cùng là “Được coi như đã chấp hành xong hình phạt”. Chuỗi suy luận: Đã chấp hành một nửa thời hạn cấm cư trú hoặc quản chế và cải tạo tốt → Có thể được miễn phần hình phạt còn lại → Được coi như đã chấp hành xong hình phạt.,"Có thể được xem xét miễn, giảm hình phạt hoặc kết thúc chế độ cấm cư trú/quản chế trước thời hạn.",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,RULE_RETRIEVAL_MISS|EVENT_RETRIEVAL_MISS|TOP1_PATH_MISMATCH|PATH_NOT_RETRIEVED|VERIFICATION_ERROR|LOW_ANSWER_TOKEN_F1|CITATION_MISS|EXTRA_CITATION
BLHS_MH_0002,"Từ sự kiện “Có 02 chất ma túy trở lên mà tổng khối lượng hoặc thể tích của các chất đó tương đương với khối lượng hoặc thể tích chất ma túy quy định tại một trong các điểm từ điểm a đến điểm d khoản này”, sau khi trải qua bước trung gian, kết quả pháp lý cuối cùng nào có thể phát sinh?",forward_multihop,medium,0,1,1,,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,0,0.0,0.0,0.0,0.0,0.0,0.0,2,0,0.0,0.0,0.0,0.0,0.0,-1,1,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,-1,0,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,SUPPORTED,SUPPORTED,1.0,0.95,0.55,0.144737,0.229167,0.145833,0.0,20,76,1.0,0.0,0.0,0.0,0.0,0.0,5.519282,1494|166,,co_02_chat_ma_tuy_tro_len_ma_tong_khoi_luong_hoac_the_tich_cua_cac_chat_do_tuong_duong_voi_khoi_luong_hoac_the_tich_chat_ma_tuy_quy_dinh_tai_mot_trong_cac_diem_tu_diem_a_den_diem_d_khoan_nay|phat_tu_chung_than_hoac_tu_hinh|thoi_hieu_thi_hanh_ban_an_20_nam,,248|60,,co_02_chat_ma_tuy_tro_len_ma_tong_khoi_luong_hoac_the_tich_cua_cac_chat_do_tuong_duong_voi_khoi_luong_hoac_the_tich_chat_ma_tuy_quy_dinh_tai_mot_trong_cac_diem_tu_diem_a_den_diem_d_khoan_nay->phat_tu_chung_than_hoac_tu_hinh|phat_tu_chung_than_hoac_tu_hinh->thoi_hieu_thi_hanh_ban_an_20_nam,248|60,158|15,Hệ quả cuối cùng là “Thời hiệu thi hành bản án 20 năm”. Chuỗi suy luận: Có 02 chất ma túy trở lên mà tổng khối lượng hoặc thể tích của các chất đó tương đương với khối lượng hoặc thể tích chất ma túy quy định tại một trong các điểm từ điểm a đến điểm d khoản này → Bị phạt tù chung thân hoặc tử hình → Thời hiệu thi hành bản án 20 năm.,Có thể bị xử lý hình sự theo Điều 158 BLHS với hình phạt tù từ 2 đến 20 năm,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,RULE_RETRIEVAL_MISS|EVENT_RETRIEVAL_MISS|TOP1_PATH_MISMATCH|PATH_NOT_RETRIEVED|LOW_ANSWER_TOKEN_F1|CITATION_MISS|EXTRA_CITATION
BLHS_MH_0003,"Trong graph nhân quả, “Heroine, Cocaine, Methamphetamine, Amphetamine, Ketamine, Fentanyl, MDMA hoặc XLR-11 có khối lượng 03 kilôgam trở lên” cuối cùng dẫn đến trạng thái pháp lý nào?",forward_multihop,medium,0,1,1,,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,0,0.0,0.0,0.0,0.0,0.0,0.0,2,0,0.0,0.0,0.0,0.0,0.0,-1,1,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,-1,0,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,SUPPORTED,UNCERTAIN,0.0,0.7,0.285714,0.041667,0.072727,0.072727,0.0,7,48,1.0,0.0,0.0,0.0,0.0,0.0,7.473862,1491|166,,heroine_cocaine_methamphetamine_amphetamine_ketamine_fentanyl_mdma_hoac_xlr_11_co_khoi_luong_03_kilogam_tro_len|phat_tu_chung_than_hoac_tu_hinh|thoi_hieu_thi_hanh_ban_an_20_nam,,248|60,,heroine_cocaine_methamphetamine_amphetamine_ketamine_fentanyl_mdma_hoac_xlr_11_co_khoi_luong_03_kilogam_tro_len->phat_tu_chung_than_hoac_tu_hinh|phat_tu_chung_than_hoac_tu_hinh->thoi_hieu_thi_hanh_ban_an_20_nam,248|60,,"Hệ quả cuối cùng là “Thời hiệu thi hành bản án 20 năm”. Chuỗi suy luận: Heroine, Cocaine, Methamphetamine, Amphetamine, Ketamine, Fentanyl, MDMA hoặc XLR-11 có khối lượng 03 kilôgam trở lên → Bị phạt tù chung thân hoặc tử hình → Thời hiệu thi hành bản án 20 năm.",Trạng thái pháp lý là tù giam,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,RULE_RETRIEVAL_MISS|EVENT_RETRIEVAL_MISS|TOP1_PATH_MISMATCH|PATH_NOT_RETRIEVED|VERIFICATION_ERROR|LOW_ANSWER_TOKEN_F1|CITATION_MISS|EXTRA_CITATION
BLHS_MH_0004,Hãy xác định hệ quả cuối cùng của chuỗi bắt đầu từ “Có 02 chất ma túy trở lên mà tổng khối lượng hoặc thể tích của các chất đó tương đương với khối lượng hoặc thể tích chất ma túy quy định tại một trong các điểm từ điểm a đến điểm g khoản này”.,forward_multihop,medium,0,1,1,,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,0,0.0,0.0,0.0,0.0,0.0,0.0,2,0,0.0,0.0,0.0,0.0,0.0,-1,1,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,-1,0,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,SUPPORTED,SUPPORTED,1.0,0.95,0.111111,0.013158,0.023529,0.023529,0.0,9,76,1.0,0.0,0.0,0.0,0.0,0.0,5.609185,1598|166,,co_02_chat_ma_tuy_tro_len_ma_tong_khoi_luong_hoac_the_tich_cua_cac_chat_do_tuong_duong_voi_khoi_luong_hoac_the_tich_chat_ma_tuy_quy_dinh_tai_mot_trong_cac_diem_tu_diem_a_den_diem_g_khoan_nay|phat_tu_chung_than_hoac_tu_hinh|thoi_hieu_thi_hanh_ban_an_20_nam,,251|60,,co_02_chat_ma_tuy_tro_len_ma_tong_khoi_luong_hoac_the_tich_cua_cac_chat_do_tuong_duong_voi_khoi_luong_hoac_the_tich_chat_ma_tuy_quy_dinh_tai_mot_trong_cac_diem_tu_diem_a_den_diem_g_khoan_nay->phat_tu_chung_than_hoac_tu_hinh|phat_tu_chung_than_hoac_tu_hinh->thoi_hieu_thi_hanh_ban_an_20_nam,251|60,15,Hệ quả cuối cùng là “Thời hiệu thi hành bản án 20 năm”. Chuỗi suy luận: Có 02 chất ma túy trở lên mà tổng khối lượng hoặc thể tích của các chất đó tương đương với khối lượng hoặc thể tích chất ma túy quy định tại một trong các điểm từ điểm a đến điểm g khoản này → Bị phạt tù chung thân hoặc tử hình → Thời hiệu thi hành bản án 20 năm.,Criminal liability with imprisonment from 5 to 20 years,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,RULE_RETRIEVAL_MISS|EVENT_RETRIEVAL_MISS|TOP1_PATH_MISMATCH|PATH_NOT_RETRIEVED|LOW_ANSWER_TOKEN_F1|CITATION_MISS|EXTRA_CITATION
BLHS_MH_0005,"Khi xảy ra “Lá cây côca; lá khát (lá cây Catha edulis); lá, rễ, thân, cành, hoa, quả của cây cần sa hoặc bộ phận của cây khác có chứa chất ma túy do Chính phủ quy định có khối lượng 150 kilôgam trở lên”, chuỗi hai bước trong dữ liệu dẫn tới kết quả nào?",forward_multihop,medium,0,1,1,,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,0,0.0,0.0,0.0,0.0,0.0,0.0,2,0,0.0,0.0,0.0,0.0,0.0,-1,1,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,-1,0,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,SUPPORTED,SUPPORTED,1.0,0.95,0.615385,0.108108,0.183908,0.137931,0.0,13,74,1.0,0.0,0.0,0.0,0.0,0.0,7.247534,1593|166,,la_cay_coca_la_khat_la_cay_catha_edulis_la_re_than_canh_hoa_qua_cua_cay_can_sa_hoac_bo_phan_cua_cay_khac_co_chua_chat_ma_tuy_do_chinh_phu_quy_dinh_co_khoi_luong_150_kilogam_tro_len|phat_tu_chung_than_hoac_tu_hinh|thoi_hieu_thi_hanh_ban_an_20_nam,,251|60,,la_cay_coca_la_khat_la_cay_catha_edulis_la_re_than_canh_hoa_qua_cua_cay_can_sa_hoac_bo_phan_cua_cay_khac_co_chua_chat_ma_tuy_do_chinh_phu_quy_dinh_co_khoi_luong_150_kilogam_tro_len->phat_tu_chung_than_hoac_tu_hinh|phat_tu_chung_than_hoac_tu_hinh->thoi_hieu_thi_hanh_ban_an_20_nam,251|60,123|15,"Hệ quả cuối cùng là “Thời hiệu thi hành bản án 20 năm”. Chuỗi suy luận: Lá cây côca; lá khát (lá cây Catha edulis); lá, rễ, thân, cành, hoa, quả của cây cần sa hoặc bộ phận của cây khác có chứa chất ma túy do Chính phủ quy định có khối lượng 150 kilôgam trở lên → Bị phạt tù chung thân hoặc tử hình → Thời hiệu thi hành bản án 20 năm.","Phạt tù từ 12 đến 20 năm, có thể判处死刑 hoặc tù chung thân",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,RULE_RETRIEVAL_MISS|EVENT_RETRIEVAL_MISS|TOP1_PATH_MISMATCH|PATH_NOT_RETRIEVED|LOW_ANSWER_TOKEN_F1|CITATION_MISS|EXTRA_CITATION
BLHS_MH_0006,"Nếu Nhựa thuốc phiện, nhựa cần sa hoặc cao côca có khối lượng 30 kilôgam trở lên thì qua chuỗi quan hệ pháp lý, hệ quả cuối cùng là gì?",forward_multihop,medium,0,1,1,,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,0,0.0,0.0,0.0,0.0,0.0,0.0,2,0,0.0,0.0,0.0,0.0,0.0,-1,1,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,-1,0,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,SUPPORTED,SUPPORTED,1.0,0.95,0.727273,0.166667,0.271186,0.271186,0.0,11,48,1.0,0.0,0.0,0.0,0.0,0.0,4.77594,1490|166,,nhua_thuoc_phien_nhua_can_sa_hoac_cao_coca_co_khoi_luong_30_kilogam_tro_len|phat_tu_chung_than_hoac_tu_hinh|thoi_hieu_thi_hanh_ban_an_20_nam,,248|60,,nhua_thuoc_phien_nhua_can_sa_hoac_cao_coca_co_khoi_luong_30_kilogam_tro_len->phat_tu_chung_than_hoac_tu_hinh|phat_tu_chung_than_hoac_tu_hinh->thoi_hieu_thi_hanh_ban_an_20_nam,248|60,123|15,"Hệ quả cuối cùng là “Thời hiệu thi hành bản án 20 năm”. Chuỗi suy luận: Nhựa thuốc phiện, nhựa cần sa hoặc cao côca có khối lượng 30 kilôgam trở lên → Bị phạt tù chung thân hoặc tử hình → Thời hiệu thi hành bản án 20 năm.",Hệ quả là bị phạt tù từ 12 đến 20 năm,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,RULE_RETRIEVAL_MISS|EVENT_RETRIEVAL_MISS|TOP1_PATH_MISMATCH|PATH_NOT_RETRIEVED|LOW_ANSWER_TOKEN_F1|CITATION_MISS|EXTRA_CITATION
BLHS_MH_0007,"Từ sự kiện “Các chất ma túy khác ở thể rắn có khối lượng 09 kilôgam trở lên”, sau khi trải qua bước trung gian, kết quả pháp lý cuối cùng nào có thể phát sinh?",forward_multihop,medium,0,1,1,,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,0,0.0,0.0,0.0,0.0,0.0,0.0,2,0,0.0,0.0,0.0,0.0,0.0,-1,1,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,-1,0,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,SUPPORTED,UNCERTAIN,0.0,0.7,0.5,0.12766,0.20339,0.135593,0.0,12,47,1.0,0.0,0.0,0.0,0.0,0.0,5.919136,1492|166,,cac_chat_ma_tuy_khac_o_the_ran_co_khoi_luong_09_kilogam_tro_len|phat_tu_chung_than_hoac_tu_hinh|thoi_hieu_thi_hanh_ban_an_20_nam,,248|60,,cac_chat_ma_tuy_khac_o_the_ran_co_khoi_luong_09_kilogam_tro_len->phat_tu_chung_than_hoac_tu_hinh|phat_tu_chung_than_hoac_tu_hinh->thoi_hieu_thi_hanh_ban_an_20_nam,248|60,,Hệ quả cuối cùng là “Thời hiệu thi hành bản án 20 năm”. Chuỗi suy luận: Các chất ma túy khác ở thể rắn có khối lượng 09 kilôgam trở lên → Bị phạt tù chung thân hoặc tử hình → Thời hiệu thi hành bản án 20 năm.,Có thể bị xử lý hình sự với hình phạt tù giam,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,RULE_RETRIEVAL_MISS|EVENT_RETRIEVAL_MISS|TOP1_PATH_MISMATCH|PATH_NOT_RETRIEVED|VERIFICATION_ERROR|LOW_ANSWER_TOKEN_F1|CITATION_MISS|EXTRA_CITATION
BLHS_MH_0008,"Trong graph nhân quả, “Các chất ma túy khác ở thể lỏng có thể tích 22 lít trở lên” cuối cùng dẫn đến trạng thái pháp lý nào?",forward_multihop,medium,0,1,1,,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,0,0.0,0.0,0.0,0.0,0.0,0.0,2,0,0.0,0.0,0.0,0.0,0.0,-1,1,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,-1,0,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,SUPPORTED,UNCERTAIN,0.0,0.3,0.235294,0.085106,0.125,0.09375,0.0,17,47,1.0,0.0,0.0,0.0,0.0,0.0,5.489414,1493|166,,cac_chat_ma_tuy_khac_o_the_long_co_the_tich_22_lit_tro_len|phat_tu_chung_than_hoac_tu_hinh|thoi_hieu_thi_hanh_ban_an_20_nam,,248|60,,cac_chat_ma_tuy_khac_o_the_long_co_the_tich_22_lit_tro_len->phat_tu_chung_than_hoac_tu_hinh|phat_tu_chung_than_hoac_tu_hinh->thoi_hieu_thi_hanh_ban_an_20_nam,248|60,,Hệ quả cuối cùng là “Thời hiệu thi hành bản án 20 năm”. Chuỗi suy luận: Các chất ma túy khác ở thể lỏng có thể tích 22 lít trở lên → Bị phạt tù chung thân hoặc tử hình → Thời hiệu thi hành bản án 20 năm.,Trạng thái pháp lý có thể liên quan đến tội phạm nặng với hình phạt nghiêm khắc,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,RULE_RETRIEVAL_MISS|EVENT_RETRIEVAL_MISS|TOP1_PATH_MISMATCH|PATH_NOT_RETRIEVED|VERIFICATION_ERROR|LOW_ANSWER_TOKEN_F1|CITATION_MISS|EXTRA_CITATION
BLHS_MH_0009,Hãy xác định hệ quả cuối cùng của chuỗi bắt đầu từ “Quả thuốc phiện khô có khối lượng 1.200 kilôgam trở lên”.,forward_multihop,medium,0,1,1,,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,0,0.0,0.0,0.0,0.0,0.0,0.0,2,0,0.0,0.0,0.0,0.0,0.0,-1,1,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,-1,0,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,SUPPORTED,REJECT_DIRECT_CLAIM,0.0,0.3,0.384615,0.113636,0.175439,0.175439,0.0,13,44,1.0,0.0,0.0,0.0,0.0,0.0,7.215543,1594|166,,qua_thuoc_phien_kho_co_khoi_luong_1_200_kilogam_tro_len|phat_tu_chung_than_hoac_tu_hinh|thoi_hieu_thi_hanh_ban_an_20_nam,,251|60,,qua_thuoc_phien_kho_co_khoi_luong_1_200_kilogam_tro_len->phat_tu_chung_than_hoac_tu_hinh|phat_tu_chung_than_hoac_tu_hinh->thoi_hieu_thi_hanh_ban_an_20_nam,251|60,,Hệ quả cuối cùng là “Thời hiệu thi hành bản án 20 năm”. Chuỗi suy luận: Quả thuốc phiện khô có khối lượng 1.200 kilôgam trở lên → Bị phạt tù chung thân hoặc tử hình → Thời hiệu thi hành bản án 20 năm.,Hệ quả là bị xử lý hình sự theo quy định pháp luật,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,RULE_RETRIEVAL_MISS|EVENT_RETRIEVAL_MISS|TOP1_PATH_MISMATCH|PATH_NOT_RETRIEVED|VERIFICATION_ERROR|LOW_ANSWER_TOKEN_F1|CITATION_MISS|EXTRA_CITATION
BLHS_MH_0010,"Khi xảy ra “Quả thuốc phiện tươi có khối lượng 300 kilôgam trở lên”, chuỗi hai bước trong dữ liệu dẫn tới kết quả nào?",forward_multihop,medium,0,1,1,,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,0,0.0,0.0,0.0,0.0,0.0,0.0,2,0,0.0,0.0,0.0,0.0,0.0,-1,1,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,-1,0,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,SUPPORTED,REJECT_DIRECT_CLAIM,0.0,0.4,0.130435,0.069767,0.090909,0.090909,0.0,23,43,1.0,0.0,0.0,0.0,0.0,0.0,7.787703,1595|166,,qua_thuoc_phien_tuoi_co_khoi_luong_300_kilogam_tro_len|phat_tu_chung_than_hoac_tu_hinh|thoi_hieu_thi_hanh_ban_an_20_nam,,251|60,,qua_thuoc_phien_tuoi_co_khoi_luong_300_kilogam_tro_len->phat_tu_chung_than_hoac_tu_hinh|phat_tu_chung_than_hoac_tu_hinh->thoi_hieu_thi_hanh_ban_an_20_nam,251|60,,Hệ quả cuối cùng là “Thời hiệu thi hành bản án 20 năm”. Chuỗi suy luận: Quả thuốc phiện tươi có khối lượng 300 kilôgam trở lên → Bị phạt tù chung thân hoặc tử hình → Thời hiệu thi hành bản án 20 năm.,"Có thể bị xử lý hình sự theo quy định pháp luật về tội sản xuất, buôn bán trái phép chất ma túy",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,RULE_RETRIEVAL_MISS|EVENT_RETRIEVAL_MISS|TOP1_PATH_MISMATCH|PATH_NOT_RETRIEVED|VERIFICATION_ERROR|LOW_ANSWER_TOKEN_F1|CITATION_MISS|EXTRA_CITATION
