question_id,source_chain_id,task_type,difficulty,hop_count,question,gold_rule_ids,gold_article_ids,gold_start_event,gold_final_effect,gold_counterfactual_status,gold_final_effect_reachable,gold_answer_label,gold_answer,alternative_chain_ids
F001,1,FACTUAL_MULTI_HOP,LONG_CHAIN,3,"Một trường hợp có tình tiết: chưa được xóa án tích mà lại thực hiện hành vi phạm tội do cố ý. Sau toàn bộ chuỗi áp dụng pháp luật, hậu quả pháp lý cuối cùng là gì?",205|148|143,53|43,TAI_PHAM_DO_CO_Y_KHI_CHUA_XOA_AN_TICH,CU_TRU_DUOI_SU_KIEM_SOAT_GIAO_DUC,,True,SUPPORTED,"Theo chuỗi nhân quả pháp lý đã cho, trường hợp này dẫn đến tái phạm nguy hiểm → bị áp dụng hình phạt quản chế, và hậu quả cuối cùng là phải cư trú, làm ăn sinh sống và cải tạo tại một địa phương nhất định dưới sự kiểm soát, giáo dục của chính quyền và nhân dân địa phương.",
CF001,1,COUNTERFACTUAL_WITH_ALTERNATIVE_CANDIDATE,LONG_CHAIN,3,"Giả sử điều kiện hoặc sự kiện “chưa được xóa án tích mà lại thực hiện hành vi phạm tội do cố ý” không còn xảy ra hoặc không còn được thỏa mãn. Theo chuỗi đang xét, có còn đủ căn cứ để kết luận “phải cư trú, làm ăn sinh sống và cải tạo tại một địa phương nhất định dưới sự kiểm soát, giáo dục của chính quyền và nhân dân địa phương” hay không?",205|148|143,53|43,TAI_PHAM_DO_CO_Y_KHI_CHUA_XOA_AN_TICH,CU_TRU_DUOI_SU_KIEM_SOAT_GIAO_DUC,INVALIDATED,False,NOT_ENOUGH_LEGAL_BASIS,"Không thể giữ nguyên kết luận “phải cư trú, làm ăn sinh sống và cải tạo tại một địa phương nhất định dưới sự kiểm soát, giáo dục của chính quyền và nhân dân địa phương” dựa trên chuỗi này, vì điều kiện đầu vào đã bị phủ định nên đường suy luận bị vô hiệu. Có thể tồn tại chuỗi pháp lý khác cùng dẫn đến hậu quả đó, nhưng các điều kiện của những chuỗi thay thế chưa được xác minh nên chưa được xem là căn cứ hợp lệ.",3|30
F002,2,FACTUAL_MULTI_HOP,LONG_CHAIN,3,"Một trường hợp có tình tiết: chưa được xóa án tích mà lại thực hiện hành vi phạm tội do cố ý. Sau toàn bộ chuỗi áp dụng pháp luật, hậu quả pháp lý cuối cùng là gì?",205|148|149,53|43,TAI_PHAM_DO_CO_Y_KHI_CHUA_XOA_AN_TICH,THOI_HAN_QUAN_CHE_01_DEN_05_NAM,,True,SUPPORTED,"Theo chuỗi nhân quả pháp lý đã cho, trường hợp này dẫn đến tái phạm nguy hiểm → bị áp dụng hình phạt quản chế, và hậu quả cuối cùng là thời hạn quản chế từ 01 năm đến 05 năm.",
CF002,2,COUNTERFACTUAL_WITH_ALTERNATIVE_CANDIDATE,LONG_CHAIN,3,"Giả sử điều kiện hoặc sự kiện “chưa được xóa án tích mà lại thực hiện hành vi phạm tội do cố ý” không còn xảy ra hoặc không còn được thỏa mãn. Theo chuỗi đang xét, có còn đủ căn cứ để kết luận “thời hạn quản chế từ 01 năm đến 05 năm” hay không?",205|148|149,53|43,TAI_PHAM_DO_CO_Y_KHI_CHUA_XOA_AN_TICH,THOI_HAN_QUAN_CHE_01_DEN_05_NAM,INVALIDATED,False,NOT_ENOUGH_LEGAL_BASIS,"Không thể giữ nguyên kết luận “thời hạn quản chế từ 01 năm đến 05 năm” dựa trên chuỗi này, vì điều kiện đầu vào đã bị phủ định nên đường suy luận bị vô hiệu. Có thể tồn tại chuỗi pháp lý khác cùng dẫn đến hậu quả đó, nhưng các điều kiện của những chuỗi thay thế chưa được xác minh nên chưa được xem là căn cứ hợp lệ.",4|31
F003,3,FACTUAL_MULTI_HOP,LONG_CHAIN,3,"Một trường hợp có tình tiết: đã bị kết án về tội rất nghiêm trọng hoặc đặc biệt nghiêm trọng do cố ý, chưa được xóa án tích mà lại phạm tội rất nghiêm trọng hoặc đặc biệt nghiêm trọng do cố ý. Sau toàn bộ chuỗi áp dụng pháp luật, hậu quả pháp lý cuối cùng là gì?",204|148|143,53|43,TAI_PHAM_TOI_RAT_NGHIEM_TRONG_HOAC_DAC_BIET_NGHIEM_TRONG_DO_CO_Y,CU_TRU_DUOI_SU_KIEM_SOAT_GIAO_DUC,,True,SUPPORTED,"Theo chuỗi nhân quả pháp lý đã cho, trường hợp này dẫn đến tái phạm nguy hiểm → bị áp dụng hình phạt quản chế, và hậu quả cuối cùng là phải cư trú, làm ăn sinh sống và cải tạo tại một địa phương nhất định dưới sự kiểm soát, giáo dục của chính quyền và nhân dân địa phương.",
CF003,3,COUNTERFACTUAL_WITH_ALTERNATIVE_CANDIDATE,LONG_CHAIN,3,"Giả sử điều kiện hoặc sự kiện “đã bị kết án về tội rất nghiêm trọng hoặc đặc biệt nghiêm trọng do cố ý, chưa được xóa án tích mà lại phạm tội rất nghiêm trọng hoặc đặc biệt nghiêm trọng do cố ý” không còn xảy ra hoặc không còn được thỏa mãn. Theo chuỗi đang xét, có còn đủ căn cứ để kết luận “phải cư trú, làm ăn sinh sống và cải tạo tại một địa phương nhất định dưới sự kiểm soát, giáo dục của chính quyền và nhân dân địa phương” hay không?",204|148|143,53|43,TAI_PHAM_TOI_RAT_NGHIEM_TRONG_HOAC_DAC_BIET_NGHIEM_TRONG_DO_CO_Y,CU_TRU_DUOI_SU_KIEM_SOAT_GIAO_DUC,INVALIDATED,False,NOT_ENOUGH_LEGAL_BASIS,"Không thể giữ nguyên kết luận “phải cư trú, làm ăn sinh sống và cải tạo tại một địa phương nhất định dưới sự kiểm soát, giáo dục của chính quyền và nhân dân địa phương” dựa trên chuỗi này, vì điều kiện đầu vào đã bị phủ định nên đường suy luận bị vô hiệu. Có thể tồn tại chuỗi pháp lý khác cùng dẫn đến hậu quả đó, nhưng các điều kiện của những chuỗi thay thế chưa được xác minh nên chưa được xem là căn cứ hợp lệ.",1|30
F004,4,FACTUAL_MULTI_HOP,LONG_CHAIN,3,"Một trường hợp có tình tiết: đã bị kết án về tội rất nghiêm trọng hoặc đặc biệt nghiêm trọng do cố ý, chưa được xóa án tích mà lại phạm tội rất nghiêm trọng hoặc đặc biệt nghiêm trọng do cố ý. Sau toàn bộ chuỗi áp dụng pháp luật, hậu quả pháp lý cuối cùng là gì?",204|148|149,53|43,TAI_PHAM_TOI_RAT_NGHIEM_TRONG_HOAC_DAC_BIET_NGHIEM_TRONG_DO_CO_Y,THOI_HAN_QUAN_CHE_01_DEN_05_NAM,,True,SUPPORTED,"Theo chuỗi nhân quả pháp lý đã cho, trường hợp này dẫn đến tái phạm nguy hiểm → bị áp dụng hình phạt quản chế, và hậu quả cuối cùng là thời hạn quản chế từ 01 năm đến 05 năm.",
CF004,4,COUNTERFACTUAL_WITH_ALTERNATIVE_CANDIDATE,LONG_CHAIN,3,"Giả sử điều kiện hoặc sự kiện “đã bị kết án về tội rất nghiêm trọng hoặc đặc biệt nghiêm trọng do cố ý, chưa được xóa án tích mà lại phạm tội rất nghiêm trọng hoặc đặc biệt nghiêm trọng do cố ý” không còn xảy ra hoặc không còn được thỏa mãn. Theo chuỗi đang xét, có còn đủ căn cứ để kết luận “thời hạn quản chế từ 01 năm đến 05 năm” hay không?",204|148|149,53|43,TAI_PHAM_TOI_RAT_NGHIEM_TRONG_HOAC_DAC_BIET_NGHIEM_TRONG_DO_CO_Y,THOI_HAN_QUAN_CHE_01_DEN_05_NAM,INVALIDATED,False,NOT_ENOUGH_LEGAL_BASIS,"Không thể giữ nguyên kết luận “thời hạn quản chế từ 01 năm đến 05 năm” dựa trên chuỗi này, vì điều kiện đầu vào đã bị phủ định nên đường suy luận bị vô hiệu. Có thể tồn tại chuỗi pháp lý khác cùng dẫn đến hậu quả đó, nhưng các điều kiện của những chuỗi thay thế chưa được xác minh nên chưa được xem là căn cứ hợp lệ.",2|31
F005,5,FACTUAL_MULTI_HOP,MULTI_HOP,2,"Nếu xảy ra trường hợp: bị áp dụng hình phạt chính, thì sau chuỗi suy luận pháp lý liên quan, hậu quả cuối cùng là gì?",98|122,32|37,AP_DUNG_HINH_PHAT_CHINH,ROI_KHOI_LANH_THO_VIET_NAM,,True,SUPPORTED,"Theo chuỗi nhân quả pháp lý đã cho, trường hợp này dẫn đến bị áp dụng hình phạt trục xuất, và hậu quả cuối cùng là phải rời khỏi lãnh thổ nước Cộng hòa xã hội chủ nghĩa Việt Nam.",
CF005,5,COUNTERFACTUAL_WITH_ALTERNATIVE_CANDIDATE,MULTI_HOP,2,"Giả sử điều kiện hoặc sự kiện “bị áp dụng hình phạt chính” không còn xảy ra hoặc không còn được thỏa mãn. Theo chuỗi đang xét, có còn đủ căn cứ để kết luận “phải rời khỏi lãnh thổ nước Cộng hòa xã hội chủ nghĩa Việt Nam” hay không?",98|122,32|37,AP_DUNG_HINH_PHAT_CHINH,ROI_KHOI_LANH_THO_VIET_NAM,INVALIDATED,False,NOT_ENOUGH_LEGAL_BASIS,"Không thể giữ nguyên kết luận “phải rời khỏi lãnh thổ nước Cộng hòa xã hội chủ nghĩa Việt Nam” dựa trên chuỗi này, vì điều kiện đầu vào đã bị phủ định nên đường suy luận bị vô hiệu. Có thể tồn tại chuỗi pháp lý khác cùng dẫn đến hậu quả đó, nhưng các điều kiện của những chuỗi thay thế chưa được xác minh nên chưa được xem là căn cứ hợp lệ.",35
