id,question_type,difficulty,requires_counterfactual,error_types,pipeline_error,rule_recall_at_5,event_recall_at_5,top1_exact_path_match,top1_edge_f1,oracle_exact_path_match,oracle_best_path_rank,gold_decision,predicted_decision,answer_token_f1,answer_rouge_l_f1,citation_precision,citation_recall,gold_rule_ids,predicted_rule_ids,gold_event_ids,predicted_event_ids,gold_path_edges,top1_path_edges,gold_citations,predicted_citations,gold_answer,predicted_answer
BLHS_MH_0001,forward_multihop,medium,0,VERIFICATION_ERROR|LOW_ANSWER_TOKEN_F1,,1.0,1.0,1.0,1.0,1.0,1,SUPPORTED,UNCERTAIN,0.057971,0.057971,1.0,1.0,176|203,176|203|353|705|793|2876|359|2200|2534|613|2411|2535,da_chap_hanh_mot_nua_thoi_han_cam_cu_tru_hoac_quan_che_va_cai_tao_tot|mien_phan_hinh_phat_con_lai|duoc_coi_nhu_da_chap_hanh_xong_hinh_phat,da_chap_hanh_mot_nua_thoi_han_cam_cu_tru_hoac_quan_che_va_cai_tao_tot|mien_phan_hinh_phat_con_lai|duoc_coi_nhu_da_chap_hanh_xong_hinh_phat|phat_cai_tao_khong_giam_giu_den_03_nam_hoac_phat_tu_tu_02_nam_den_05_nam|phat_cai_tao_khong_giam_giu_tu_02_nam_den_03_nam_hoac_phat_tu_tu_03_thang_den_02_nam|phat_cai_tao_khong_giam_giu_den_01_nam_hoac_phat_tu_tu_03_thang_den_02_nam|phat_cai_tao_khong_giam_giu_den_02_nam_hoac_bi_phat_tu_tu_03_thang_den_02_nam|phat_cai_tao_khong_giam_giu_den_03_nam_hoac_phat_tu_tu_03_thang_den_02_nam,da_chap_hanh_mot_nua_thoi_han_cam_cu_tru_hoac_quan_che_va_cai_tao_tot->mien_phan_hinh_phat_con_lai|mien_phan_hinh_phat_con_lai->duoc_coi_nhu_da_chap_hanh_xong_hinh_phat,da_chap_hanh_mot_nua_thoi_han_cam_cu_tru_hoac_quan_che_va_cai_tao_tot->mien_phan_hinh_phat_con_lai|mien_phan_hinh_phat_con_lai->duoc_coi_nhu_da_chap_hanh_xong_hinh_phat,62|73,62|73,Hệ quả cuối cùng là “Được coi như đã chấp hành xong hình phạt”. Chuỗi suy luận: Đã chấp hành một nửa thời hạn cấm cư trú hoặc quản chế và cải tạo tốt → Có thể được miễn phần hình phạt còn lại → Được coi như đã chấp hành xong hình phạt.,Chưa đủ căn cứ từ dữ liệu được cung cấp để kết luận chắc chắn. [E1] [E2]
BLHS_MH_0002,forward_multihop,medium,0,TOP1_PATH_MISMATCH|PATH_RANKING_ERROR|LOW_ANSWER_TOKEN_F1|EXTRA_CITATION,,1.0,1.0,0.0,0.5,1.0,1,SUPPORTED,SUPPORTED,0.294737,0.294737,0.666667,1.0,1494|166,1493|1597|166|1494|1629|1525|1590|1582|1598|1557|1489|1621,co_02_chat_ma_tuy_tro_len_ma_tong_khoi_luong_hoac_the_tich_cua_cac_chat_do_tuong_duong_voi_khoi_luong_hoac_the_tich_chat_ma_tuy_quy_dinh_tai_mot_trong_cac_diem_tu_diem_a_den_diem_d_khoan_nay|phat_tu_chung_than_hoac_tu_hinh|thoi_hieu_thi_hanh_ban_an_20_nam,cac_chat_ma_tuy_khac_o_the_long_co_the_tich_22_lit_tro_len|phat_tu_chung_than_hoac_tu_hinh|thoi_hieu_thi_hanh_ban_an_20_nam|co_02_chat_ma_tuy_tro_len_ma_tong_khoi_luong_hoac_the_tich_cua_cac_chat_do_tuong_duong_voi_khoi_luong_hoac_the_tich_chat_ma_tuy_quy_dinh_tai_mot_trong_cac_diem_tu_diem_a_den_diem_d_khoan_nay|co_02_chat_ma_tuy_tro_len_ma_tong_khoi_luong_hoac_the_tich_cua_cac_chat_do_tuong_duong_voi_khoi_luong_hoac_the_tich_chat_ma_tuy_quy_dinh_tai_mot_trong_cac_diem_tu_diem_a_den_diem_g_khoan_nay|phat_tu_tu_10_nam_den_15_nam|phat_tu_tu_15_nam_den_20_nam_hoac_tu_chung_than|phat_tu_tu_15_nam_den_20_nam,co_02_chat_ma_tuy_tro_len_ma_tong_khoi_luong_hoac_the_tich_cua_cac_chat_do_tuong_duong_voi_khoi_luong_hoac_the_tich_chat_ma_tuy_quy_dinh_tai_mot_trong_cac_diem_tu_diem_a_den_diem_d_khoan_nay->phat_tu_chung_than_hoac_tu_hinh|phat_tu_chung_than_hoac_tu_hinh->thoi_hieu_thi_hanh_ban_an_20_nam,cac_chat_ma_tuy_khac_o_the_long_co_the_tich_22_lit_tro_len->phat_tu_chung_than_hoac_tu_hinh|phat_tu_chung_than_hoac_tu_hinh->thoi_hieu_thi_hanh_ban_an_20_nam,248|60,248|251|60,Hệ quả cuối cùng là “Thời hiệu thi hành bản án 20 năm”. Chuỗi suy luận: Có 02 chất ma túy trở lên mà tổng khối lượng hoặc thể tích của các chất đó tương đương với khối lượng hoặc thể tích chất ma túy quy định tại một trong các điểm từ điểm a đến điểm d khoản này → Bị phạt tù chung thân hoặc tử hình → Thời hiệu thi hành bản án 20 năm.,Hệ quả cuối cùng là xác định thời hiệu thi hành bản án là 20 năm [E1] [E2] [E3].
BLHS_MH_0003,forward_multihop,medium,0,LOW_ANSWER_TOKEN_F1|EXTRA_CITATION,,1.0,1.0,1.0,1.0,1.0,1,SUPPORTED,SUPPORTED,0.38806,0.38806,0.666667,1.0,1491|166,1491|1592|166|1543|1481|1534|1474|1567|1486|1584|1519|1576,heroine_cocaine_methamphetamine_amphetamine_ketamine_fentanyl_mdma_hoac_xlr_11_co_khoi_luong_03_kilogam_tro_len|phat_tu_chung_than_hoac_tu_hinh|thoi_hieu_thi_hanh_ban_an_20_nam,heroine_cocaine_methamphetamine_amphetamine_ketamine_fentanyl_mdma_hoac_xlr_11_co_khoi_luong_03_kilogam_tro_len|phat_tu_chung_than_hoac_tu_hinh|thoi_hieu_thi_hanh_ban_an_20_nam|la_cay_coca_la_khat_la_cay_catha_edulis_la_re_than_canh_hoa_qua_cua_cay_can_sa_hoac_bo_phan_cua_cay_khac_co_chua_chat_ma_tuy_do_chinh_phu_quy_dinh_co_khoi_luong_150_kilogam_tro_len|heroine_cocaine_methamphetamine_amphetamine_ketamine_fentanyl_mdma_hoac_xlr_11_co_khoi_luong_tu_05_gam_den_duoi_30_gam|phat_tu_tu_07_nam_den_15_nam|heroine_cocaine_methamphetamine_amphetamine_ketamine_fentanyl_mdma_hoac_xlr_11_co_khoi_luong_tu_30_gam_den_duoi_100_gam|phat_tu_tu_15_nam_den_20_nam,heroine_cocaine_methamphetamine_amphetamine_ketamine_fentanyl_mdma_hoac_xlr_11_co_khoi_luong_03_kilogam_tro_len->phat_tu_chung_than_hoac_tu_hinh|phat_tu_chung_than_hoac_tu_hinh->thoi_hieu_thi_hanh_ban_an_20_nam,heroine_cocaine_methamphetamine_amphetamine_ketamine_fentanyl_mdma_hoac_xlr_11_co_khoi_luong_03_kilogam_tro_len->phat_tu_chung_than_hoac_tu_hinh|phat_tu_chung_than_hoac_tu_hinh->thoi_hieu_thi_hanh_ban_an_20_nam,248|60,248|251|60,"Hệ quả cuối cùng là “Thời hiệu thi hành bản án 20 năm”. Chuỗi suy luận: Heroine, Cocaine, Methamphetamine, Amphetamine, Ketamine, Fentanyl, MDMA hoặc XLR-11 có khối lượng 03 kilôgam trở lên → Bị phạt tù chung thân hoặc tử hình → Thời hiệu thi hành bản án 20 năm.",Hệ quả cuối cùng là xác định thời hiệu thi hành bản án là 20 năm [E1] [E2] [E3].
BLHS_MH_0004,forward_multihop,medium,0,LOW_ANSWER_TOKEN_F1,,1.0,1.0,1.0,1.0,1.0,1,SUPPORTED,SUPPORTED,0.297872,0.297872,1.0,1.0,1598|166,1598|166|1494|1629|1621|1525|1582|1590|1517|1489|1549|1557,co_02_chat_ma_tuy_tro_len_ma_tong_khoi_luong_hoac_the_tich_cua_cac_chat_do_tuong_duong_voi_khoi_luong_hoac_the_tich_chat_ma_tuy_quy_dinh_tai_mot_trong_cac_diem_tu_diem_a_den_diem_g_khoan_nay|phat_tu_chung_than_hoac_tu_hinh|thoi_hieu_thi_hanh_ban_an_20_nam,co_02_chat_ma_tuy_tro_len_ma_tong_khoi_luong_hoac_the_tich_cua_cac_chat_do_tuong_duong_voi_khoi_luong_hoac_the_tich_chat_ma_tuy_quy_dinh_tai_mot_trong_cac_diem_tu_diem_a_den_diem_g_khoan_nay|phat_tu_chung_than_hoac_tu_hinh|thoi_hieu_thi_hanh_ban_an_20_nam|co_02_chat_ma_tuy_tro_len_ma_tong_khoi_luong_hoac_the_tich_cua_cac_chat_do_tuong_duong_voi_khoi_luong_hoac_the_tich_chat_ma_tuy_quy_dinh_tai_mot_trong_cac_diem_tu_diem_a_den_diem_d_khoan_nay|phat_tu_tu_10_nam_den_15_nam|phat_tu_tu_15_nam_den_20_nam_hoac_tu_chung_than|phat_tu_tu_15_nam_den_20_nam|phat_tu_20_nam_hoac_tu_chung_than,co_02_chat_ma_tuy_tro_len_ma_tong_khoi_luong_hoac_the_tich_cua_cac_chat_do_tuong_duong_voi_khoi_luong_hoac_the_tich_chat_ma_tuy_quy_dinh_tai_mot_trong_cac_diem_tu_diem_a_den_diem_g_khoan_nay->phat_tu_chung_than_hoac_tu_hinh|phat_tu_chung_than_hoac_tu_hinh->thoi_hieu_thi_hanh_ban_an_20_nam,co_02_chat_ma_tuy_tro_len_ma_tong_khoi_luong_hoac_the_tich_cua_cac_chat_do_tuong_duong_voi_khoi_luong_hoac_the_tich_chat_ma_tuy_quy_dinh_tai_mot_trong_cac_diem_tu_diem_a_den_diem_g_khoan_nay->phat_tu_chung_than_hoac_tu_hinh|phat_tu_chung_than_hoac_tu_hinh->thoi_hieu_thi_hanh_ban_an_20_nam,251|60,251|60,Hệ quả cuối cùng là “Thời hiệu thi hành bản án 20 năm”. Chuỗi suy luận: Có 02 chất ma túy trở lên mà tổng khối lượng hoặc thể tích của các chất đó tương đương với khối lượng hoặc thể tích chất ma túy quy định tại một trong các điểm từ điểm a đến điểm g khoản này → Bị phạt tù chung thân hoặc tử hình → Thời hiệu thi hành bản án 20 năm.,Hệ quả cuối cùng là xác định thời hiệu thi hành bản án là 20 năm [E1] [E2].
BLHS_MH_0005,forward_multihop,medium,0,LOW_ANSWER_TOKEN_F1,,1.0,1.0,1.0,1.0,1.0,1,SUPPORTED,SUPPORTED,0.304348,0.304348,1.0,1.0,1593|166,1593|166|1520|1624|1616|1544|1577|1512|1552|1585|1607|1503,la_cay_coca_la_khat_la_cay_catha_edulis_la_re_than_canh_hoa_qua_cua_cay_can_sa_hoac_bo_phan_cua_cay_khac_co_chua_chat_ma_tuy_do_chinh_phu_quy_dinh_co_khoi_luong_150_kilogam_tro_len|phat_tu_chung_than_hoac_tu_hinh|thoi_hieu_thi_hanh_ban_an_20_nam,la_cay_coca_la_khat_la_cay_catha_edulis_la_re_than_canh_hoa_qua_cua_cay_can_sa_hoac_bo_phan_cua_cay_khac_co_chua_chat_ma_tuy_do_chinh_phu_quy_dinh_co_khoi_luong_150_kilogam_tro_len|phat_tu_chung_than_hoac_tu_hinh|thoi_hieu_thi_hanh_ban_an_20_nam|la_cay_coca_la_khat_la_cay_catha_edulis_la_re_than_canh_hoa_qua_cua_cay_can_sa_hoac_bo_phan_cua_cay_khac_co_chua_chat_ma_tuy_do_chinh_phu_quy_dinh_co_khoi_luong_75_kilogam_tro_len|phat_tu_tu_15_nam_den_20_nam_hoac_tu_chung_than|la_cay_coca_la_khat_la_cay_catha_edulis_la_re_than_canh_hoa_qua_cua_cay_can_sa_hoac_bo_phan_cua_cay_khac_co_chua_chat_ma_tuy_do_chinh_phu_quy_dinh_co_khoi_luong_tu_25_kilogam_den_duoi_75_kilogam|phat_tu_tu_10_nam_den_15_nam|phat_tu_tu_15_nam_den_20_nam,la_cay_coca_la_khat_la_cay_catha_edulis_la_re_than_canh_hoa_qua_cua_cay_can_sa_hoac_bo_phan_cua_cay_khac_co_chua_chat_ma_tuy_do_chinh_phu_quy_dinh_co_khoi_luong_150_kilogam_tro_len->phat_tu_chung_than_hoac_tu_hinh|phat_tu_chung_than_hoac_tu_hinh->thoi_hieu_thi_hanh_ban_an_20_nam,la_cay_coca_la_khat_la_cay_catha_edulis_la_re_than_canh_hoa_qua_cua_cay_can_sa_hoac_bo_phan_cua_cay_khac_co_chua_chat_ma_tuy_do_chinh_phu_quy_dinh_co_khoi_luong_150_kilogam_tro_len->phat_tu_chung_than_hoac_tu_hinh|phat_tu_chung_than_hoac_tu_hinh->thoi_hieu_thi_hanh_ban_an_20_nam,251|60,251|60,"Hệ quả cuối cùng là “Thời hiệu thi hành bản án 20 năm”. Chuỗi suy luận: Lá cây côca; lá khát (lá cây Catha edulis); lá, rễ, thân, cành, hoa, quả của cây cần sa hoặc bộ phận của cây khác có chứa chất ma túy do Chính phủ quy định có khối lượng 150 kilôgam trở lên → Bị phạt tù chung thân hoặc tử hình → Thời hiệu thi hành bản án 20 năm.",Hệ quả cuối cùng là xác định thời hiệu thi hành bản án là 20 năm [E1] [E2].
BLHS_MH_0006,forward_multihop,medium,0,VERIFICATION_ERROR|LOW_ANSWER_TOKEN_F1|EXTRA_CITATION,,1.0,1.0,1.0,1.0,1.0,1,SUPPORTED,UNCERTAIN,0.030303,0.030303,0.666667,1.0,1490|166,1490|1591|166|1480|1542|1575|1533|1473|1485|1583|1593|1566,nhua_thuoc_phien_nhua_can_sa_hoac_cao_coca_co_khoi_luong_30_kilogam_tro_len|phat_tu_chung_than_hoac_tu_hinh|thoi_hieu_thi_hanh_ban_an_20_nam,nhua_thuoc_phien_nhua_can_sa_hoac_cao_coca_co_khoi_luong_30_kilogam_tro_len|phat_tu_chung_than_hoac_tu_hinh|thoi_hieu_thi_hanh_ban_an_20_nam|la_cay_coca_la_khat_la_cay_catha_edulis_la_re_than_canh_hoa_qua_cua_cay_can_sa_hoac_bo_phan_cua_cay_khac_co_chua_chat_ma_tuy_do_chinh_phu_quy_dinh_co_khoi_luong_150_kilogam_tro_len|nhua_thuoc_phien_nhua_can_sa_hoac_cao_coca_co_khoi_luong_tu_500_gam_den_duoi_01_kilogam|phat_tu_tu_07_nam_den_15_nam|nhua_thuoc_phien_nhua_can_sa_hoac_cao_coca_co_khoi_luong_tu_01_kilogam_den_duoi_05_kilogam|phat_tu_tu_15_nam_den_20_nam,nhua_thuoc_phien_nhua_can_sa_hoac_cao_coca_co_khoi_luong_30_kilogam_tro_len->phat_tu_chung_than_hoac_tu_hinh|phat_tu_chung_than_hoac_tu_hinh->thoi_hieu_thi_hanh_ban_an_20_nam,nhua_thuoc_phien_nhua_can_sa_hoac_cao_coca_co_khoi_luong_30_kilogam_tro_len->phat_tu_chung_than_hoac_tu_hinh|phat_tu_chung_than_hoac_tu_hinh->thoi_hieu_thi_hanh_ban_an_20_nam,248|60,248|251|60,"Hệ quả cuối cùng là “Thời hiệu thi hành bản án 20 năm”. Chuỗi suy luận: Nhựa thuốc phiện, nhựa cần sa hoặc cao côca có khối lượng 30 kilôgam trở lên → Bị phạt tù chung thân hoặc tử hình → Thời hiệu thi hành bản án 20 năm.",Chưa đủ căn cứ từ dữ liệu được cung cấp để kết luận chắc chắn. [E1] [E2] [E3]
BLHS_MH_0007,forward_multihop,medium,0,LOW_ANSWER_TOKEN_F1|EXTRA_CITATION,,1.0,1.0,1.0,1.0,1.0,1,SUPPORTED,SUPPORTED,0.393939,0.393939,0.666667,1.0,1492|166,1492|1596|166|1547|1592|1491|1597|1493|1588|1487|1619|1515,cac_chat_ma_tuy_khac_o_the_ran_co_khoi_luong_09_kilogam_tro_len|phat_tu_chung_than_hoac_tu_hinh|thoi_hieu_thi_hanh_ban_an_20_nam,cac_chat_ma_tuy_khac_o_the_ran_co_khoi_luong_09_kilogam_tro_len|phat_tu_chung_than_hoac_tu_hinh|thoi_hieu_thi_hanh_ban_an_20_nam|heroine_cocaine_methamphetamine_amphetamine_ketamine_fentanyl_mdma_hoac_xlr_11_co_khoi_luong_03_kilogam_tro_len|cac_chat_ma_tuy_khac_o_the_long_co_the_tich_22_lit_tro_len|cac_chat_ma_tuy_khac_o_the_ran_co_khoi_luong_tu_100_gam_den_duoi_300_gam|phat_tu_tu_15_nam_den_20_nam|cac_chat_ma_tuy_khac_o_the_ran_co_khoi_luong_tu_20_gam_den_duoi_100_gam,cac_chat_ma_tuy_khac_o_the_ran_co_khoi_luong_09_kilogam_tro_len->phat_tu_chung_than_hoac_tu_hinh|phat_tu_chung_than_hoac_tu_hinh->thoi_hieu_thi_hanh_ban_an_20_nam,cac_chat_ma_tuy_khac_o_the_ran_co_khoi_luong_09_kilogam_tro_len->phat_tu_chung_than_hoac_tu_hinh|phat_tu_chung_than_hoac_tu_hinh->thoi_hieu_thi_hanh_ban_an_20_nam,248|60,248|251|60,Hệ quả cuối cùng là “Thời hiệu thi hành bản án 20 năm”. Chuỗi suy luận: Các chất ma túy khác ở thể rắn có khối lượng 09 kilôgam trở lên → Bị phạt tù chung thân hoặc tử hình → Thời hiệu thi hành bản án 20 năm.,Hệ quả cuối cùng là xác định thời hiệu thi hành bản án là 20 năm [E1] [E2] [E3].
BLHS_MH_0008,forward_multihop,medium,0,LOW_ANSWER_TOKEN_F1|EXTRA_CITATION,,1.0,1.0,1.0,1.0,1.0,1,SUPPORTED,SUPPORTED,0.393939,0.393939,0.666667,1.0,1493|166,1493|1597|166|1538|1475|1571|1589|1488|1548|1581|1620|1516,cac_chat_ma_tuy_khac_o_the_long_co_the_tich_22_lit_tro_len|phat_tu_chung_than_hoac_tu_hinh|thoi_hieu_thi_hanh_ban_an_20_nam,cac_chat_ma_tuy_khac_o_the_long_co_the_tich_22_lit_tro_len|phat_tu_chung_than_hoac_tu_hinh|thoi_hieu_thi_hanh_ban_an_20_nam|cac_chat_ma_tuy_khac_o_the_ran_co_khoi_luong_tu_20_gam_den_duoi_100_gam|phat_tu_tu_07_nam_den_15_nam|cac_chat_ma_tuy_khac_o_the_long_co_the_tich_tu_750_mililit_den_duoi_22_lit|phat_tu_20_nam_hoac_tu_chung_than|cac_chat_ma_tuy_khac_o_the_long_co_the_tich_tu_250_mililit_den_duoi_750_mililit,cac_chat_ma_tuy_khac_o_the_long_co_the_tich_22_lit_tro_len->phat_tu_chung_than_hoac_tu_hinh|phat_tu_chung_than_hoac_tu_hinh->thoi_hieu_thi_hanh_ban_an_20_nam,cac_chat_ma_tuy_khac_o_the_long_co_the_tich_22_lit_tro_len->phat_tu_chung_than_hoac_tu_hinh|phat_tu_chung_than_hoac_tu_hinh->thoi_hieu_thi_hanh_ban_an_20_nam,248|60,248|251|60,Hệ quả cuối cùng là “Thời hiệu thi hành bản án 20 năm”. Chuỗi suy luận: Các chất ma túy khác ở thể lỏng có thể tích 22 lít trở lên → Bị phạt tù chung thân hoặc tử hình → Thời hiệu thi hành bản án 20 năm.,Hệ quả cuối cùng là xác định thời hiệu thi hành bản án là 20 năm [E1] [E2] [E3].
BLHS_MH_0009,forward_multihop,medium,0,LOW_ANSWER_TOKEN_F1,,1.0,1.0,1.0,1.0,1.0,1,SUPPORTED,SUPPORTED,0.419355,0.419355,1.0,1.0,1594|166,1594|166|1513|1617|1578|1545|1521|1595|1586|1625|1553|1504,qua_thuoc_phien_kho_co_khoi_luong_1_200_kilogam_tro_len|phat_tu_chung_than_hoac_tu_hinh|thoi_hieu_thi_hanh_ban_an_20_nam,qua_thuoc_phien_kho_co_khoi_luong_1_200_kilogam_tro_len|phat_tu_chung_than_hoac_tu_hinh|thoi_hieu_thi_hanh_ban_an_20_nam|qua_thuoc_phien_tuoi_co_khoi_luong_300_kilogam_tro_len|qua_thuoc_phien_kho_co_khoi_luong_tu_200_kilogam_den_duoi_600_kilogam|phat_tu_tu_10_nam_den_15_nam|phat_tu_tu_15_nam_den_20_nam|qua_thuoc_phien_kho_co_khoi_luong_600_kilogam_tro_len,qua_thuoc_phien_kho_co_khoi_luong_1_200_kilogam_tro_len->phat_tu_chung_than_hoac_tu_hinh|phat_tu_chung_than_hoac_tu_hinh->thoi_hieu_thi_hanh_ban_an_20_nam,qua_thuoc_phien_kho_co_khoi_luong_1_200_kilogam_tro_len->phat_tu_chung_than_hoac_tu_hinh|phat_tu_chung_than_hoac_tu_hinh->thoi_hieu_thi_hanh_ban_an_20_nam,251|60,251|60,Hệ quả cuối cùng là “Thời hiệu thi hành bản án 20 năm”. Chuỗi suy luận: Quả thuốc phiện khô có khối lượng 1.200 kilôgam trở lên → Bị phạt tù chung thân hoặc tử hình → Thời hiệu thi hành bản án 20 năm.,Hệ quả cuối cùng là xác định thời hiệu thi hành bản án là 20 năm [E1] [E2].
BLHS_MH_0010,forward_multihop,medium,0,LOW_ANSWER_TOKEN_F1,,1.0,1.0,1.0,1.0,1.0,1,SUPPORTED,SUPPORTED,0.42623,0.42623,1.0,1.0,1595|166,1595|166|1594|1545|1578|1546|1579|1626|1522|1587|1617|1513,qua_thuoc_phien_tuoi_co_khoi_luong_300_kilogam_tro_len|phat_tu_chung_than_hoac_tu_hinh|thoi_hieu_thi_hanh_ban_an_20_nam,qua_thuoc_phien_tuoi_co_khoi_luong_300_kilogam_tro_len|phat_tu_chung_than_hoac_tu_hinh|thoi_hieu_thi_hanh_ban_an_20_nam|qua_thuoc_phien_kho_co_khoi_luong_1_200_kilogam_tro_len|qua_thuoc_phien_tuoi_co_khoi_luong_150_kilogam_tro_len|phat_tu_tu_15_nam_den_20_nam_hoac_tu_chung_than|qua_thuoc_phien_kho_co_khoi_luong_tu_200_kilogam_den_duoi_600_kilogam|phat_tu_tu_10_nam_den_15_nam,qua_thuoc_phien_tuoi_co_khoi_luong_300_kilogam_tro_len->phat_tu_chung_than_hoac_tu_hinh|phat_tu_chung_than_hoac_tu_hinh->thoi_hieu_thi_hanh_ban_an_20_nam,qua_thuoc_phien_tuoi_co_khoi_luong_300_kilogam_tro_len->phat_tu_chung_than_hoac_tu_hinh|phat_tu_chung_than_hoac_tu_hinh->thoi_hieu_thi_hanh_ban_an_20_nam,251|60,251|60,Hệ quả cuối cùng là “Thời hiệu thi hành bản án 20 năm”. Chuỗi suy luận: Quả thuốc phiện tươi có khối lượng 300 kilôgam trở lên → Bị phạt tù chung thân hoặc tử hình → Thời hiệu thi hành bản án 20 năm.,Hệ quả cuối cùng là xác định thời hiệu thi hành bản án là 20 năm [E1] [E2].
