group_type,group_name,sample_count,prediction_coverage,rule_recall_at_5,event_recall_at_5,top1_exact_path_match,oracle_exact_path_match,verification_accuracy,verification_macro_f1,answer_token_f1,answer_rouge_l_f1,citation_f1
question_type,branch_reasoning,4,1.0,0.0,0.0,1.0,1.0,0.25,0.4,0.211913,0.149319,0.0
question_type,bridge_convergence_fallback,6,1.0,0.0,0.0,0.0,0.0,0.166667,0.285714,0.263856,0.254597,0.0
question_type,bridge_event,40,1.0,0.0,0.0,0.0,0.0,0.225,0.367347,0.300192,0.279749,0.016667
question_type,causal_chain_explanation,35,1.0,0.0,0.0,0.0,0.0,0.228571,0.372093,0.358366,0.330684,0.019048
question_type,convergence_reasoning,10,1.0,0.0,0.0,1.0,1.0,0.1,0.181818,0.339618,0.271259,0.0
question_type,forward_multihop,70,1.0,0.0,0.0,0.0,0.0,0.557143,0.715596,0.159229,0.140497,0.0
question_type,reverse_reasoning,45,1.0,0.0,0.0,0.0,0.0,0.222222,0.363636,0.228244,0.184249,0.0
question_type,yes_no_counterexample,20,1.0,0.0,0.0,0.0,0.0,0.55,0.709677,0.154309,0.1165,0.0
question_type,yes_no_positive,20,1.0,0.0,0.0,0.0,0.0,0.25,0.4,0.156215,0.145181,0.0
difficulty,hard,69,1.0,0.0,0.0,0.202899,0.202899,0.304348,0.461232,0.288012,0.249475,0.009662
difficulty,medium,181,1.0,0.0,0.0,0.0,0.0,0.353591,0.522449,0.210675,0.186449,0.003683
requires_counterfactual,0,230,1.0,0.0,0.0,0.06087,0.06087,0.321739,0.486842,0.238777,0.211439,0.005797
requires_counterfactual,1,20,1.0,0.0,0.0,0.0,0.0,0.55,0.709677,0.154309,0.1165,0.0
